player_ref_id,points_per_game,rebounds_per_game,assists_per_game,effective_fgp,efficiency_rating,win_shares,value_over_replacement,true_shooting_pct,steals_per_game,blocks_per_game,minutes_per_game
abdulka01,24.60705128205128,11.179487179487179,3.628205128205128,0.559,24.6,273.4,85.7,0.592,0.7435897435897436,2.044230769230769,36.82435897435897
abdursh01,18.106024096385543,7.516867469879518,2.540963855421687,0.479,19.0,71.2,21.9,0.549,0.9879518072289156,0.7686746987951807,34.797590361445785
abrinal01,5.310344827586207,1.4252873563218391,0.5057471264367817,0.525,8.8,5.0,0.1,0.552,0.5287356321839081,0.12643678160919541,15.959770114942529
ackeral01,2.7,0.9666666666666667,0.5333333333333333,0.413,8.5,-0.2,-0.2,0.42,0.2,0.13333333333333333,7.8
acyqu01,4.87240356083086,3.4985163204747773,0.6439169139465876,0.513,11.2,8.7,-0.1,0.553,0.41543026706231456,0.40059347181008903,16.0
adamsha01,2.5342465753424657,1.1506849315068493,0.1917808219178082,0.534,11.8,0.8,0.0,0.556,0.2465753424657534,0.0684931506849315,7.493150684931507
adamsja01,3.176470588235294,1.7647058823529411,1.911764705882353,0.459,7.6,0.1,-0.2,0.474,0.4117647058823529,0.14705882352941177,12.588235294117647
adamsjo01,3.15625,0.9375,0.59375,0.457,13.1,0.4,0.2,0.484,0.59375,0.21875,8.21875
adamsst01,9.794339622641509,7.60188679245283,1.1603773584905661,0.589,17.2,45.2,8.6,0.596,0.8849056603773585,1.0018867924528303,26.80566037735849
adebaba01,10.547085201793722,7.681614349775785,2.928251121076233,0.555,18.4,19.5,5.7,0.599,0.8295964125560538,0.8923766816143498,25.55156950672646
adelde01,1.6842105263157894,1.0,0.2631578947368421,0.389,2.7,-0.2,-0.3,0.424,0.05263157894736842,0.21052631578947367,10.210526315789474
adrieje01,4.633986928104576,4.30718954248366,0.6535947712418301,0.474,15.0,4.4,-0.1,0.518,0.32679738562091504,0.5163398692810458,14.03921568627451
afflaar01,10.758530183727034,2.8556430446194225,1.8188976377952757,0.514,11.9,33.5,2.4,0.556,0.44750656167979,0.18503937007874016,27.334645669291337
agerma01,2.0609756097560976,0.5609756097560976,0.23170731707317074,0.368,2.8,-0.9,-0.9,0.398,0.07317073170731707,0.07317073170731707,6.158536585365853
ahearbl01,4.631578947368421,1.1578947368421053,1.1578947368421053,0.364,7.2,-0.2,-0.2,0.481,0.3684210526315789,-1.0,11.894736842105264
ajincal01,5.300341296928328,3.9249146757679183,0.4880546075085324,0.507,14.9,7.5,-0.8,0.546,0.34812286689419797,0.6177474402730375,13.327645051194539
akognjo01,1.6666666666666667,0.3333333333333333,0.3333333333333333,0.625,15.3,0.0,0.0,0.625,-1.0,-1.0,3.0
akoonde01,1.0,0.5714285714285714,0.8571428571428571,0.3,8.2,0.0,0.0,0.322,0.2857142857142857,-1.0,3.142857142857143
alabiso01,1.5,2.3461538461538463,0.19230769230769232,0.314,10.3,0.0,-0.1,0.352,0.15384615384615385,0.4230769230769231,6.961538461538462
aldemfu01,2.268292682926829,4.2926829268292686,0.6829268292682927,0.513,12.0,1.4,-0.2,0.517,0.4146341463414634,0.3902439024390244,13.170731707317072
aldrico01,3.0973451327433628,3.336283185840708,0.5398230088495575,0.527,16.6,9.6,1.8,0.563,0.40412979351032446,0.6873156342182891,9.997050147492626
aldrila01,19.54037886340977,8.334995014955135,1.9790628115653042,0.497,20.8,111.4,32.4,0.543,0.7308075772681955,1.1076769690927217,34.414755732801595
alexacl01,1.25,0.75,,0.5,11.6,0.0,0.0,0.5,0.125,0.25,4.5
alexaco01,5.462540716612378,1.5667752442996743,2.7166123778501627,0.468,12.4,3.0,0.4,0.504,0.8566775244299675,0.12052117263843648,15.788273615635179
alexajo01,4.208955223880597,1.791044776119403,0.6567164179104478,0.442,9.9,0.5,-0.3,0.488,0.23880597014925373,0.44776119402985076,11.119402985074627
alexaky01,1.0,1.5,,0.5,4.7,0.0,0.0,0.5,-1.0,-1.0,6.5
alexani01,5.680851063829787,1.7872340425531914,1.8936170212765957,0.455,8.9,-0.2,-0.4,0.473,0.3617021276595745,0.1702127659574468,12.574468085106384
alkinra01,3.7,2.6,1.3,0.372,8.1,-0.1,-0.2,0.418,0.1,-1.0,12.0
allengr01,7.118421052631579,1.4210526315789473,1.013157894736842,0.533,10.3,1.2,-0.3,0.569,0.21052631578947367,0.10526315789473684,14.921052631578947
allenja01,10.067567567567568,7.797297297297297,1.2117117117117118,0.613,19.0,20.0,4.4,0.644,0.5,1.3513513513513513,24.274774774774773
allenka01,5.48936170212766,1.5106382978723405,2.3191489361702127,0.488,13.5,1.0,0.2,0.538,0.5106382978723404,0.1702127659574468,13.617021276595745
allenla01,4.760309278350515,4.75,0.9896907216494846,0.472,12.5,13.8,-0.1,0.491,0.30927835051546393,0.5515463917525774,17.79639175257732
allenma01,4.882845188284519,2.8305439330543933,0.4769874476987448,0.44,9.9,6.6,-3.3,0.465,0.2719665271966527,0.4602510460251046,15.192468619246862
allenra02,18.85,4.055384615384615,3.3546153846153848,0.53,18.6,145.1,57.6,0.58,1.116153846153846,0.18769230769230769,35.64923076923077
allento01,8.114634146341464,3.5170731707317073,1.3134146341463415,0.487,14.2,38.7,10.4,0.529,1.4121951219512194,0.41097560975609754,22.01829268292683
allrela01,1.0,0.3333333333333333,,0.25,-1.0,0.0,0.0,0.307,-1.0,-1.0,3.3333333333333335
almonmo01,3.1315789473684212,1.2105263157894737,0.3157894736842105,0.412,7.0,0.0,-0.4,0.463,0.3157894736842105,0.10526315789473684,9.5
